('13.0.0', '51EBFA9CCF66C09E', '51EBFA9CCF66C09EC796C069C6C6D03C01D504CC0B17F4FAA919446E7E9DB107', '13.3.0.0'),
('13.1.0', '91BA65A21C1D50AE', '91BA65A21C1D50AEF6E6B535B491A36CD1B2DFB2DA2F0AB4A93F03097BB894E0', '13.4.0.0'),
('13.1.0', '763827EE9C207E5B', '763827EE9C207E5BA99AE5BDC872DFCFB69D8F1261D80A60F3AC25AC9C90C230', '13.4.0.0'),
('14.0.0', '887AC150806C75CC', '887AC150806C75CCC40DA0AA98CC09B3E468E6C78F315F927FBEDD91B16DE27A', '14.3.0.0'),
('14.0.0', 'D488D1F29217355C', 'D488D1F29217355C22ABDA773FDEA582B13D475B74BCB02B998C66AB1B3E4309', '14.3.0.0'),
('15.0.0', 'D0D4491814B562AF', 'D0D4491814B562AF61ABD52E4BF0989405AF741A5C7C033AB3EB0EC8680AD98F', '15.3.0.0'),
('15.0.0', '34C0D9ED6AD1873D', '34C0D9ED6AD1873DCD02F1C12AFA20546D033EFB1D8EB9B7A8E5ABAB71F39F43', '15.3.0.0'),
('16.0.0', '56E856566C38D8BE', '56E856566C38D8BEA79A70FF6F9756804CFF57907E2EAC7BD8E9C1FC1C7B96CE', '16.2.0.0'),
('16.0.0', 'CFAB450C2C539DA9', 'CFAB450C2C539DA947D0A12A9DE10911FA539A348B7C3D64CE9BA74D9E0355DE', '16.2.0.0'),
('16.0.3', '39EE1F1E0EA7325D', '39EE1F1E0EA7325DD105C1BABE90F306A5AA5DEC70024D4F9461F94C8E0206AE', '16.2.0.0'),
('16.0.3', '62C65EFD9ABF7C43', '62C65EFD9ABF7C434275AA99BE0A0D9A222E89805044A6C04ADAB26D2AA1AA5E', '16.2.0.0'),
('17.0.0', '27073BF0A1B8CE61', '27073BF0A1B8CE6108EEC562D654669ECC5AE576F42D2A9FF6424C623B98E8D8', '17.5.0.0'),
('17.0.0', 'EE0F4BAC6D1FFC4B', 'EE0F4BAC6D1FFC4BB5ADCBD12455B24E4EF924A3DB5F9158792F57FA11DA83A1', '17.5.0.0'),
('18.0.0', '795F5A5EB0C6779E', '795F5A5EB0C6779EF2D5763E0052B3FB605C796869FE268F0C58714861EFCAEC', '18.3.0.0'),
('18.0.0', '1E2C64B1CCE27824', '1E2C64B1CCE27824999B9DC2276701696C9569CBC607501D65CC1386CE485B65', '18.3.0.0'),
('18.1.0', 'A339F01C95BFA768', 'A339F01C95BFA768DE461DA745130E932531C2DF986E3BC649A0B89CED0A1CC7', '18.3.0.0'),
('18.1.0', '204CBA86DE08446A', '204CBA86DE08446A4ED2B6925C1981675D1FE81C1CA71D5B8B6DD76396C8B5F7', '18.3.0.0'),
('19.0.0', 'D94C6815F8F50A20', 'D94C6815F8F50A2067C841311CA88982824A2A79B86DFC58F91509760F317BB6', '19.3.0.0'),
('19.0.0', 'EDA87868A4490750', 'EDA87868A4490750DD5ABA6BA758FC1545945A874A42AC124D92944C6560FE9F', '19.3.0.0'),
('20.0.0', '6354969E60A7977B', '6354969E60A7977B5A3C0E25EF39DEC1D84AC43E4F2BE16B3521A4FB4D6D0548', '20.5.4.0'),
('20.0.0', '47410710654FA43F', '47410710654FA43FE8B6D13B769C1EAF08309DCA55F3B2416970DC0B6D397231', '20.5.4.0'),
('20.1.0', 'ED34B450584A5B43', 'ED34B450584A5B43150CFF94D6A7C49F6B7F4C649B7CC6A0D8A0BB316EB52B76', '20.5.4.0'),
('20.1.0', 'A51AA4926C418759', 'A51AA4926C41875905D1DA2FE9788FC849F8699F9FB5CE42EBD7B89FD5D08B8B', '20.5.4.0'),
('21.0.0', 'EE4B3012A6840225', 'EE4B3012A68402255043E718CDC247C4D88F17A7BDC566FDA54D7EB702B0751C', '21.4.0.0'),
('21.0.0', '6E2BD9BAA3B910F1', '6E2BD9BAA3B910F1D236A3304534603795DAA62AA9F2807328A29CAEF908DF4B', '21.4.0.0'),
('21.2.0', 'AF1DBDC782983CBD', 'AF1DBDC782983CBDCF446D3BB7DB1F5408552974C63BC2DA42DD0A28EAF3E5DD', '21.4.0.0'),
('21.2.0', '562517A192C3C8F0', '562517A192C3C8F0BFF7B2D73F7949988D480361A90CBFC1FDE113329E7B2D30', '21.4.0.0'),
